ID,IID,Title,Description,Type,URL,State,Confidential,Locked,Milestone,Labels,Author,Author Username,Assignee,Assignee Username,Created At (UTC),Updated At (UTC),Closed At (UTC),Due Date,Start Date,Parent ID,Parent IID,Parent Title,Time Estimate,Time Spent,Weight
174060568,1,[US1] Main page,"",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/1,Open,No,No,,"US, done",Gonçalo Borges,goncalonpb,"","",2025-09-28 14:52:59,2025-10-01 20:40:14,,,,,,,,,
174060571,2,[US2] Movie page,"",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/2,Closed,No,No,,US,Gonçalo Borges,goncalonpb,"","",2025-09-28 14:53:32,2025-09-28 18:13:00,2025-09-28 18:13:00,,,,,,,,
174060578,3,[US3] Movie List Page,"",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/3,Closed,No,No,,US,Gonçalo Borges,goncalonpb,"","",2025-09-28 14:54:04,2025-09-28 18:12:59,2025-09-28 18:12:59,,,,,,,,
174060586,4,[US4] Review Page,"",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/4,Open,No,No,,"US, done",Gonçalo Borges,goncalonpb,"","",2025-09-28 14:56:00,2025-10-01 18:12:53,,,,,,,,,
174060595,5,[US5] User Authentication,"",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/5,Open,No,No,,"US, done",Gonçalo Borges,goncalonpb,"","",2025-09-28 14:56:51,2025-10-01 20:39:52,,,,,,,,,
174060596,6,[US6] API Integration,"",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/6,Closed,No,No,,US,Gonçalo Borges,goncalonpb,"","",2025-09-28 14:57:21,2025-10-01 18:13:17,2025-10-01 18:13:17,,,,,,,,
174060603,7,[US7] Database,"",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/7,Closed,No,No,,US,Gonçalo Borges,goncalonpb,"","",2025-09-28 14:57:45,2025-09-28 18:12:53,2025-09-28 18:12:53,,,,,,,,
174060782,8,"[US1.2] As a user, i want to see a main page with a top bar for navigation.","**Acceptance Criteria:** 
- Functional Top bar with ""Browse"", ""Watched Movies"", ""Watchlist"", ""User Profile"".

**Motive:**:
- User should have easy access to different areas of the website.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/8,Closed,No,No,,"US, done",Lucas Ribeiro Caetano,lucas.rib.caetano,"","",2025-09-28 15:12:16,2025-09-28 17:29:58,2025-09-28 17:29:58,,,,,,,,
174061299,9,"[US1.3] As a user, i want to have personalized recommendations on my main page.","**Acceptance Criteria:** Creation of a algorithm for personalized movie recommendation.
**Motive:** User should get recommendations based on his personality and likings.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/9,Closed,No,No,,"US, done",Lucas Ribeiro Caetano,lucas.rib.caetano,"","",2025-09-28 15:21:48,2025-09-28 17:29:02,2025-09-28 17:29:02,,,,,,,,
174061310,10,[US3.1] As a user I want to see a list of movies.,"**Acceptance criteria:** 
- The list of movies must be displayed.
- Upon clicking the movie it navigates to its page.

**Motive:** 
- Users need a landing page to start exploring and searching for moving.
- Users can click on a movie to navigate to its page.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/10,Closed,No,No,,"US, done",Francisco Loureiro,floureiro4,"","",2025-09-28 15:23:03,2025-09-28 18:01:51,2025-09-28 17:28:41,,,,,,,,
174061378,11,"[US1.4] As a user, i want to see in my main page ""Popular Movies of the Week"".","**Acceptance Criteria:**
- Show the most watched movies during last week, being able to navigate to each movie page or to see the full list page.

**Motive:** 
- Popular movies can be attractive to most users.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/11,Closed,No,No,,"US, done",Lucas Ribeiro Caetano,lucas.rib.caetano,"","",2025-09-28 15:27:41,2025-09-28 17:31:41,2025-09-28 17:31:41,,,,,,,,
174061447,12,"[US1.5] As a user, i want to see the popular reviews of the week in my main page.","**Acceptance Criteria:** 
- Show the top rated reviews posted during last week for multiple movies, being able to see each review, who wrote it, its rating, post date, related movie and to navigate to that review's page, movie, and user.

**Motive:** 
- User should be able to access popular reviews for active movie discovery.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/12,Closed,No,No,,"US, done",Lucas Ribeiro Caetano,lucas.rib.caetano,"","",2025-09-28 15:34:50,2025-09-28 17:32:07,2025-09-28 17:32:07,,,,,,,,
174061449,13,"[US2.1] As a user, I want to see a page for a specific movie.","**Acceptance Criteria:** 
- Show a page with the title, description, rating, year of release, director, actors, reviews for a specific movie.
**Motive:** 
- User wants to get more information for a specific movie.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/13,Closed,No,No,,"US, done",Gonçalo Borges,goncalonpb,"","",2025-09-28 15:35:12,2025-09-28 17:32:16,2025-09-28 17:32:16,,,,,,,,
174061458,14,"[US7.1] As a Developer, i want to store users and movies metadata in data base, so that i can fetch data later.","Acceptance Criteria:
- Database schema must support storing users, movies, and their relationships


Motive: 
- Ensure that users and movies data are stored in a way that enables recommendations.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/14,Open,No,No,,"US, done",Francisco Pereira,FranciscoPereira04,"","",2025-09-28 15:36:00,2025-10-01 18:08:10,,,,,,,,,
174061465,15,[US3.2] As a user i want to be able to search for a movie.,"**Acceptance criteria:** 
 - Search box appears for user to input it's search.
 - Search must not be case-sensitive.
 - When nothing is found, there should be a message saying that.

**Motive:** 
- The user usually comes with a movie already in mind. Searching makes it quick for him to find the movie.",Issue,https://gitlab.com/ads-mei/project-ads-mei/-/issues/15,Closed,No,No,,"US, done",Francisco Loureiro,floureiro4,"","",2025-09-28 15:36:49,2025-09-28 17:46:49,2025-09-28 17:30:09,,,,,,,,
